{'lng': 127.817145464, 'alt': 43.761, 'datetime': '2019-09-17 16:22:26.224521', 'lat': 26.38031098}
{'lng': 127.817061103, 'alt': 43.823, 'datetime': '2019-09-17 16:22:28.228825', 'lat': 26.380290554}
{'lng': 127.816976743, 'alt': 43.885, 'datetime': '2019-09-17 16:22:30.234632', 'lat': 26.380270127}
{'lng': 127.816892382, 'alt': 43.947, 'datetime': '2019-09-17 16:22:32.238846', 'lat': 26.380249701}
{'lng': 127.816814166, 'alt': 43.746, 'datetime': '2019-09-17 16:22:34.243019', 'lat': 26.380240528}
{'lng': 127.81673595, 'alt': 43.545, 'datetime': '2019-09-17 16:22:36.248985', 'lat': 26.380231355}
{'lng': 127.816673566, 'alt': 44.442, 'datetime': '2019-09-17 16:22:38.253159', 'lat': 26.380217265}
{'lng': 127.816625241, 'alt': 44.736, 'datetime': '2019-09-17 16:22:40.257331', 'lat': 26.380195797}
{'lng': 127.816570773, 'alt': 46.183, 'datetime': '2019-09-17 16:22:42.263050', 'lat': 26.380179248}
{'lng': 127.816522449, 'alt': 47.366, 'datetime': '2019-09-17 16:22:44.267384', 'lat': 26.380173952}
{'lng': 127.816474125, 'alt': 48.549, 'datetime': '2019-09-17 16:22:46.271769', 'lat': 26.380168656}
{'lng': 127.816433717, 'alt': 48.549, 'datetime': '2019-09-17 16:22:48.278007', 'lat': 26.380152816}
{'lng': 127.816401225, 'alt': 48.549, 'datetime': '2019-09-17 16:22:50.282345', 'lat': 26.380134517}
{'lng': 127.816366961, 'alt': 48.549, 'datetime': '2019-09-17 16:22:52.286794', 'lat': 26.380121845}
{'lng': 127.816332697, 'alt': 48.549, 'datetime': '2019-09-17 16:22:54.293183', 'lat': 26.380109172}
{'lng': 127.816306349, 'alt': 48.549, 'datetime': '2019-09-17 16:22:56.297549', 'lat': 26.380094041}
{'lng': 127.816286145, 'alt': 48.549, 'datetime': '2019-09-17 16:22:58.301934', 'lat': 26.380090164}
{'lng': 127.816272085, 'alt': 48.549, 'datetime': '2019-09-17 16:23:00.308088', 'lat': 26.380089455}
{'lng': 127.816251882, 'alt': 48.549, 'datetime': '2019-09-17 16:23:02.312420', 'lat': 26.380085577}
{'lng': 127.816237822, 'alt': 48.549, 'datetime': '2019-09-17 16:23:04.316917', 'lat': 26.380084868}
{'lng': 127.816223762, 'alt': 48.549, 'datetime': '2019-09-17 16:23:06.322926', 'lat': 26.380084159}
{'lng': 127.816203558, 'alt': 48.549, 'datetime': '2019-09-17 16:23:08.327287', 'lat': 26.380072196}
{'lng': 127.816183354, 'alt': 48.549, 'datetime': '2019-09-17 16:23:10.331640', 'lat': 26.380060233}
{'lng': 127.816169294, 'alt': 48.549, 'datetime': '2019-09-17 16:23:12.338025', 'lat': 26.380059524}
{'lng': 127.816155234, 'alt': 48.549, 'datetime': '2019-09-17 16:23:14.342387', 'lat': 26.380050729}
{'lng': 127.816141174, 'alt': 57.047, 'datetime': '2019-09-17 16:23:16.346860', 'lat': 26.380050019}
{'lng': 127.816141174, 'alt': 56.603, 'datetime': '2019-09-17 16:23:18.353049', 'lat': 26.380041934}
