{'time':2.92,  'input_key':'W',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':False,  'rot0':0,  'rot1':0,  'rot2':0,  'rot3':0,  'rot4':0,  'rot5':0}
{'time':5.63,  'input_key':'X',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':14,  'rot1':15,  'rot2':0,  'rot3':0,  'rot4':24,  'rot5':24}
{'time':11.74,  'input_key':'X',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':True,  'rot0':33,  'rot1':35,  'rot2':0,  'rot3':0,  'rot4':59,  'rot5':58}
{'time':13.61,  'input_key':'n',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':10,  'rot1':10,  'rot2':0,  'rot3':0,  'rot4':17,  'rot5':16}
{'time':21.94,  'input_key':'D',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':48,  'rot1':50,  'rot2':0,  'rot3':0,  'rot4':84,  'rot5':79}
{'time':27.56,  'input_key':'W',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':False,  'rot0':59,  'rot1':53,  'rot2':0,  'rot3':0,  'rot4':103,  'rot5':104}
{'time':29.09,  'input_key':'X',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':6,  'rot1':9,  'rot2':0,  'rot3':0,  'rot4':12,  'rot5':14}
{'time':36.06,  'input_key':'X',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':True,  'rot0':39,  'rot1':40,  'rot2':0,  'rot3':0,  'rot4':69,  'rot5':64}
{'time':37.6,  'input_key':'n',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':7,  'rot1':8,  'rot2':0,  'rot3':0,  'rot4':13,  'rot5':13}
{'time':46.97,  'input_key':'W',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':54,  'rot1':58,  'rot2':0,  'rot3':0,  'rot4':95,  'rot5':91}
{'time':47.99,  'input_key':'p',  'm_val':0,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':False,  'rot0':1,  'rot1':1,  'rot2':0,  'rot3':0,  'rot4':2,  'rot5':1}
