{'time':3.42,  'input_key':'W',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':False,  'rot0':0,  'rot1':0,  'rot2':0,  'rot3':0,  'rot4':0,  'rot5':0}
{'time':34.81,  'input_key':'',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':500,  'rot1':506,  'rot2':0,  'rot3':0,  'rot4':844,  'rot5':843}
{'time':36.33,  'input_key':'X',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':25,  'rot1':25,  'rot2':0,  'rot3':0,  'rot4':42,  'rot5':40}
{'time':138.22,  'input_key':'X',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':True,  'rot0':1607,  'rot1':1607,  'rot2':0,  'rot3':0,  'rot4':2710,  'rot5':2673}
{'time':142.14,  'input_key':'W',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':57,  'rot1':58,  'rot2':0,  'rot3':0,  'rot4':102,  'rot5':98}
{'time':143.33,  'input_key':'n',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':False,  'rot0':2,  'rot1':2,  'rot2':0,  'rot3':0,  'rot4':3,  'rot5':3}
{'time':146.73,  'input_key':'D',  'm_val':60,  'goal_yaw':0,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':False,  'rot0':0,  'rot1':0,  'rot2':0,  'rot3':0,  'rot4':0,  'rot5':0}
{'time':181.6,  'input_key':'W',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':False,  'rot0':131,  'rot1':119,  'rot2':0,  'rot3':0,  'rot4':224,  'rot5':128}
{'time':217.51,  'input_key':'X',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':False,  'rot0':578,  'rot1':553,  'rot2':0,  'rot3':0,  'rot4':966,  'rot5':936}
{'time':246.45,  'input_key':'W',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':True,  'set_depth':True,  'rot0':457,  'rot1':439,  'rot2':0,  'rot3':0,  'rot4':757,  'rot5':735}
{'time':247.12,  'input_key':'X',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':True,  'rot0':3,  'rot1':3,  'rot2':0,  'rot3':0,  'rot4':5,  'rot5':5}
{'time':250.69,  'input_key':'x',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':False,  'rot0':0,  'rot1':0,  'rot2':0,  'rot3':0,  'rot4':0,  'rot5':0}
{'time':251.54,  'input_key':'s',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':False,  'rot0':10,  'rot1':9,  'rot2':0,  'rot3':0,  'rot4':20,  'rot5':19}
{'time':252.39,  'input_key':'n',  'm_val':60,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':False,  'rot0':3,  'rot1':3,  'rot2':0,  'rot3':0,  'rot4':7,  'rot5':6}
{'time':517.87,  'input_key':'p',  'm_val':0,  'goal_yaw':180,  'goal_depth':1.0,  'set_yaw':False,  'set_depth':False,  'rot0':0,  'rot1':0,  'rot2':0,  'rot3':0,  'rot4':0,  'rot5':0}
